location,Date,total_vaccinations
India,2020-12-13,
India,2020-12-14,
India,2020-12-15,
India,2020-12-16,
India,2020-12-17,
India,2020-12-18,
India,2020-12-19,
India,2020-12-20,
India,2020-12-21,
India,2020-12-22,
India,2020-12-23,
India,2020-12-24,
India,2020-12-25,
India,2020-12-26,
India,2020-12-27,
India,2020-12-28,
India,2020-12-29,
India,2020-12-30,
India,2020-12-31,
India,2021-01-01,
India,2021-01-02,
India,2021-01-03,
India,2021-01-04,
India,2021-01-05,
India,2021-01-06,
India,2021-01-07,
India,2021-01-08,
India,2021-01-09,
India,2021-01-10,
India,2021-01-11,
India,2021-01-12,
India,2021-01-13,
India,2021-01-14,
India,2021-01-15,0
India,2021-01-16,191181
India,2021-01-17,224301
India,2021-01-18,454049
India,2021-01-19,674835
India,2021-01-20,806484
India,2021-01-21,1043534
India,2021-01-22,1390592
India,2021-01-23,1582201
India,2021-01-24,1615504
India,2021-01-25,2023809
India,2021-01-26,2029480
India,2021-01-27,2355979
India,2021-01-28,2928053
India,2021-01-29,3500027
India,2021-01-30,3744334
India,2021-01-31,3758843
India,2021-02-01,3950156
India,2021-02-02,4138918
India,2021-02-03,4449552
India,2021-02-04,4959445
India,2021-02-05,5416849
India,2021-02-06,5775322
India,2021-02-07,5812362
India,2021-02-08,6259008
India,2021-02-09,6611561
India,2021-02-10,7017114
India,2021-02-11,7505010
India,2021-02-12,7967647
India,2021-02-13,8052454
India,2021-02-14,
India,2021-02-15,8516771
India,2021-02-16,8857341
India,2021-02-17,9186757
India,2021-02-18,9846523
India,2021-02-19,10449942
India,2021-02-20,10838323
India,2021-02-21,11085173
India,2021-02-22,11424094
India,2021-02-23,11907392
India,2021-02-24,12366633
India,2021-02-25,13067047
India,2021-02-26,13756940
India,2021-02-27,14242547
India,2021-02-28,14301266
India,2021-03-01,14854136
India,2021-03-02,15620749
India,2021-03-03,16616048
India,2021-03-04,18005503
India,2021-03-05,19497704
India,2021-03-06,20922344
India,2021-03-07,20989010
India,2021-03-08,23008733
India,2021-03-09,24367906
India,2021-03-10,25685011
India,2021-03-11,26164920
India,2021-03-12,28218457
India,2021-03-13,29738409
India,2021-03-14,29908038
India,2021-03-15,32947432
India,2021-03-16,35064536
India,2021-03-17,37143255
India,2021-03-18,39339817
India,2021-03-19,42063392
India,2021-03-20,44603841
India,2021-03-21,45065998
India,2021-03-22,48494594
India,2021-03-23,50841286
India,2021-03-24,53145709
India,2021-03-25,55504440
India,2021-03-26,58109773
India,2021-03-27,60269782
India,2021-03-28,60530435
India,2021-03-29,61113354
India,2021-03-30,63054353
India,2021-03-31,65117896
India,2021-04-01,68789138
India,2021-04-02,73054295
India,2021-04-03,75979651
India,2021-04-04,79105163
India,2021-04-05,83110926
India,2021-04-06,87077474
India,2021-04-07,90198673
India,2021-04-08,94334262
India,2021-04-09,98075160
India,2021-04-10,101595147
India,2021-04-11,104528565
India,2021-04-12,108533085
India,2021-04-13,111179578
India,2021-04-14,114493238
India,2021-04-15,117223509
India,2021-04-16,119937641
India,2021-04-17,122622590
India,2021-04-18,123852566
India,2021-04-19,127129113
India,2021-04-20,
India,2021-04-21,129646105
India,2021-04-22,132754608
India,2021-04-23,
India,2021-04-24,
India,2021-04-25,139185173
India,2021-04-26,142524947
India,2021-04-27,144879233
India,2021-04-28,147053392
India,2021-04-29,149268772
India,2021-04-30,151998107
India,2021-05-01,153626325
India,2021-05-02,154211511
India,2021-05-03,156082136
India,2021-05-04,157750752
India,2021-05-05,159931238
India,2021-05-06,162603603
India,2021-05-07,165190000
India,2021-05-08,167493857
India,2021-05-09,168304868
India,2021-05-10,171098918
India,2021-05-11,173862643
India,2021-05-12,176045577
India,2021-05-13,178361846
India,2021-05-14,179646413
India,2021-05-15,181544536
India,2021-05-16,182251006
India,2021-05-17,183817204
India,2021-05-18,185191602
India,2021-05-19,186410600
India,2021-05-20,187886885
India,2021-05-21,
India,2021-05-22,190842497
India,2021-05-23,191719240
India,2021-05-24,194165711
India,2021-05-25,195506779
India,2021-05-26,198425615
India,2021-05-27,201203166
India,2021-05-28,203166802
India,2021-05-29,207088953
India,2021-05-30,208665123
India,2021-05-31,210449895
India,2021-06-01,213135738
India,2021-06-02,215678166
India,2021-06-03,218344384
India,2021-06-04,223607768
India,2021-06-05,225571144
India,2021-06-06,228041045
India,2021-06-07,230490652
India,2021-06-08,233680929
India,2021-06-09,236856505
India,2021-06-10,240281903
India,2021-06-11,243703242
India,2021-06-12,246188067
India,2021-06-13,249430416
India,2021-06-14,252760364
India,2021-06-15,255305366
India,2021-06-16,258325900
India,2021-06-17,262970250
India,2021-06-18,266355940
India,2021-06-19,270908312
India,2021-06-20,274286599
India,2021-06-21,283313942
India,2021-06-22,289855456
India,2021-06-23,293370338
India,2021-06-24,300054027
India,2021-06-25,306661528
India,2021-06-26,314841384
India,2021-06-27,318030412
India,2021-06-28,321423578
India,2021-06-29,327423913
India,2021-06-30,329158139
India,2021-07-01,334741649
India,2021-07-02,335671794
India,2021-07-03,344300590
India,2021-07-04,347378550
India,2021-07-05,351229497
India,2021-07-06,354307646
India,2021-07-07,358070763
India,2021-07-08,368991222
India,2021-07-09,
India,2021-07-10,376032586
India,2021-07-11,377352501
India,2021-07-12,381467646
India,2021-07-13,387697935
India,2021-07-14,391340491
India,2021-07-15,395343767
India,2021-07-16,399695879
India,2021-07-17,404931715
India,2021-07-18,
India,2021-07-19,411846401
India,2021-07-20,415472455
India,2021-07-21,417851151
India,2021-07-22,423417030
India,2021-07-23,427882261
India,2021-07-24,433150864
India,2021-07-25,435196001
India,2021-07-26,441912395
India,2021-07-27,446156659
India,2021-07-28,450706257
India,2021-07-29,456033754
India,2021-07-30,461518479
India,2021-07-31,
India,2021-08-01,472223639
India,2021-08-02,
India,2021-08-03,485286570
India,2021-08-04,489342295
India,2021-08-05,495327595
India,2021-08-06,501009609
India,2021-08-07,506810492
India,2021-08-08,508664759
India,2021-08-09,514500268
India,2021-08-10,519080524
India,2021-08-11,523671019
India,2021-08-12,
India,2021-08-13,536189903
India,2021-08-14,543846290
India,2021-08-15,
India,2021-08-16,550520038
India,2021-08-17,556520316
India,2021-08-18,562151515
India,2021-08-19,566595708
India,2021-08-20,573205464
India,2021-08-21,576365820
India,2021-08-22,580771824
India,2021-08-23,582239230
India,2021-08-24,588731504
India,2021-08-25,597923238
India,2021-08-26,604391211
India,2021-08-27,615540527
India,2021-08-28,625864766
India,2021-08-29,632587851
India,2021-08-30,639305611
India,2021-08-31,644799225
India,2021-09-01,661576916
India,2021-09-02,669775627
India,2021-09-03,675654935
India,2021-09-04,677744969
India,2021-09-05,684515513
India,2021-09-06,688453563
India,2021-09-07,699668404
India,2021-09-08,710550810
India,2021-09-09,720910239
India,2021-09-10,724114731
India,2021-09-11,733428972
India,2021-09-12,740278136
India,2021-09-13,750284569
India,2021-09-14,752714069
India,2021-09-15,761350715
India,2021-09-16,771341641
India,2021-09-17,777387850
India,2021-09-18,796015119
India,2021-09-19,804778696
India,2021-09-20,812232516
India,2021-09-21,821836262
India,2021-09-22,827297973
India,2021-09-23,837239837
India,2021-09-24,847653817
India,2021-09-25,852156699
India,2021-09-26,855791746
India,2021-09-27,868774116
India,2021-09-28,873244661
India,2021-09-29,879692465
India,2021-09-30,886425292
India,2021-10-01,893203984
India,2021-10-02,901004270
India,2021-10-03,906155473
India,2021-10-04,911080329
India,2021-10-05,918129250
India,2021-10-06,923526951
India,2021-10-07,927173859
India,2021-10-08,935219767
India,2021-10-09,943033918
India,2021-10-10,951139832
India,2021-10-11,954908095
India,2021-10-12,961339629
India,2021-10-13,965904347
India,2021-10-14,968362051
India,2021-10-15,971163447
India,2021-10-16,972686142
India,2021-10-17,976344696
India,2021-10-18,978954738
India,2021-10-19,987113051
India,2021-10-20,997399032
India,2021-10-21,1003204289
India,2021-10-22,1009945663
India,2021-10-23,1013637431
India,2021-10-24,1022267850
India,2021-10-25,1024149949
India,2021-10-26,1030850079
India,2021-10-27,1036568410
India,2021-10-28,1042458533
India,2021-10-29,1051708635
India,2021-10-30,1058489433
India,2021-10-31,1062631351
India,2021-11-01,1067654329
India,2021-11-02,1069718646
India,2021-11-03,1075059421
India,2021-11-04,1077107323
India,2021-11-05,1077793623
India,2021-11-06,1080177477
India,2021-11-07,1083142285
India,2021-11-08,1088236037
India,2021-11-09,1092148139
India,2021-11-10,1097806371
India,2021-11-11,1102775592
India,2021-11-12,1111423316
India,2021-11-13,1119180353
India,2021-11-14,1122889436
India,2021-11-15,1126981490
India,2021-11-16,1133688213
India,2021-11-17,1141006707
India,2021-11-18,1148786886
India,2021-11-19,1153595556
India,2021-11-20,1163685005
India,2021-11-21,1168057227
India,2021-11-22,1175843376
India,2021-11-23,1183947210
India,2021-11-24,1193769229
India,2021-11-25,1198528642
India,2021-11-26,1210758081
India,2021-11-27,1212493046
India,2021-11-28,1223194701
India,2021-11-29,1228492006
India,2021-11-30,1237055142
India,2021-12-01,1245517176
India,2021-12-02,1255866411
India,2021-12-03,1261728028
India,2021-12-04,1273806245
India,2021-12-05,1278763558
India,2021-12-06,1283718063
India,2021-12-07,1291962219
India,2021-12-08,1299875078
India,2021-12-09,1308244539
India,2021-12-10,1312375088
India,2021-12-11,1327494248
India,2021-12-12,1331399226
India,2021-12-13,1335465563
India,2021-12-14,1346291425
India,2021-12-15,1352485358
India,2021-12-16,1356491248
India,2021-12-17,1365366923
India,2021-12-18,1373057489
India,2021-12-19,1376428862
India,2021-12-20,1380223188
India,2021-12-21,1388521671
India,2021-12-22,1391050278
India,2021-12-23,1398221289
India,2021-12-24,1404556570
India,2021-12-25,1413981791
India,2021-12-26,1414731603
India,2021-12-27,1418447119
India,2021-12-28,1426069774
India,2021-12-29,1435195841
India,2021-12-30,1438717497
India,2021-12-31,1448865422
India,2022-01-01,1454069802
India,2022-01-02,1456586234
India,2022-01-03,1464526170
India,2022-01-04,1472330269
India,2022-01-05,1482203963
India,2022-01-06,1491991022
India,2022-01-07,1505591911
India,2022-01-08,1508007415
India,2022-01-09,1517705282
India,2022-01-10,1524222751
India,2022-01-11,1537841948
India,2022-01-12,1544297708
India,2022-01-13,1553919710
India,2022-01-14,1556478542
India,2022-01-15,1565638547
India,2022-01-16,1570696006
India,2022-01-17,1575863289
India,2022-01-18,1576006300
India,2022-01-19,1592451490
India,2022-01-20,1600333779
India,2022-01-21,1609613007
India,2022-01-22,1617088106
India,2022-01-23,1622210924
India,2022-01-24,1623419845
India,2022-01-25,1630312330
India,2022-01-26,1636183520
India,2022-01-27,1639112704
India,2022-01-28,1645293992
India,2022-01-29,1650461284
India,2022-01-30,1657362150
India,2022-01-31,1664786038
India,2022-02-01,1671163877
India,2022-02-02,1677030680
India,2022-02-03,1681517744
India,2022-02-04,1687048487
India,2022-02-05,1693177165
India,2022-02-06,1695886196
India,2022-02-07,1696048044
India,2022-02-08,1702679391
India,2022-02-09,1710023580
India,2022-02-10,1710398811
India,2022-02-11,1720173263
India,2022-02-12,1723371281
India,2022-02-13,1727912049
India,2022-02-14,1729729648
India,2022-02-15,1736068837
India,2022-02-16,1738650284
India,2022-02-17,1743931966
India,2022-02-18,1747936912
India,2022-02-19,1751467446
India,2022-02-20,1753406786
India,2022-02-21,1755791055
India,2022-02-22,1759523094
India,2022-02-23,1761691159
India,2022-02-24,1764970949
India,2022-02-25,1768596814
India,2022-02-26,1772317897
India,2022-02-27,1773724815
India,2022-02-28,1775178647
India,2022-03-01,1776674379
India,2022-03-02,1778253673
India,2022-03-03,1781445039
India,2022-03-04,1784081444
India,2022-03-05,1786849348
India,2022-03-06,1787845508
India,2022-03-07,1789317128
India,2022-03-08,1791553063
India,2022-03-09,1793520158
India,2022-03-10,1795443790
India,2022-03-11,1798217482
India,2022-03-12,1799411716
India,2022-03-13,1800720203
India,2022-03-14,1802515613
India,2022-03-15,1804173297
India,2022-03-16,1806005751
India,2022-03-17,1808015400
India,2022-03-18,1809229692
India,2022-03-19,1810472831
India,2022-03-20,1811384731
India,2022-03-21,1813883509
India,2022-03-22,1816439799
India,2022-03-23,1820574288
India,2022-03-24,1824268730
India,2022-03-25,1826265830
India,2022-03-26,1830285290
India,2022-03-27,1831347741
India,2022-03-28,1833040014
India,2022-03-29,1834500657
India,2022-03-30,1838519822
India,2022-03-31,1841947045
India,2022-04-01,1843313964
India,2022-04-02,
India,2022-04-03,
India,2022-04-04,1847000842
India,2022-04-05,1848699443
India,2022-04-06,1850895496
India,2022-04-07,1852472643
India,2022-04-08,1853783376
India,2022-04-09,1855432129
India,2022-04-10,1856267473
India,2022-04-11,1857308103
India,2022-04-12,1859559964
India,2022-04-13,1860601312
India,2022-04-14,1862055068
India,2022-04-15,1862475218
India,2022-04-16,
India,2022-04-17,
India,2022-04-18,1865530788
India,2022-04-19,1867730851
India,2022-04-20,1868475798
India,2022-04-21,1870188115
India,2022-04-22,1872146953
India,2022-04-23,
India,2022-04-24,1875857737
India,2022-04-25,1876721584
India,2022-04-26,1879171201
India,2022-04-27,1881446210
India,2022-04-28,1883679480
India,2022-04-29,1886979879
India,2022-04-30,1888681185
India,2022-05-01,1890938196
India,2022-05-02,1891772613
India,2022-05-03,1893322786
India,2022-05-04,1894097635
India,2022-05-05,1895735848
India,2022-05-06,1897620959
India,2022-05-07,1899566264
India,2022-05-08,1901414279
India,2022-05-09,1902826009
India,2022-05-10,1904468335
India,2022-05-11,1906086192
India,2022-05-12,1907730016
India,2022-05-13,1909303657
India,2022-05-14,1910988931
India,2022-05-15,1912387924
India,2022-05-16,1912934803
India,2022-05-17,1914231848
India,2022-05-18,1915784498
India,2022-05-19,1917330271
India,2022-05-20,1918969942
India,2022-05-21,1920639056
India,2022-05-22,1922077507
India,2022-05-23,1923079150
India,2022-05-24,1924562314
India,2022-05-25,1925998950
India,2022-05-26,1927492886
India,2022-05-27,1929071592
India,2022-05-28,1930645136
India,2022-05-29,1931892904
India,2022-05-30,1932350200
India,2022-05-31,1933706281
India,2022-06-01,1935937188
India,2022-06-02,1936227419
India,2022-06-03,1937558468
India,2022-06-04,1938863350
India,2022-06-05,1939962957
India,2022-06-06,1940463971
India,2022-06-07,1941877578
India,2022-06-08,1943533128
India,2022-06-09,1945224141
India,2022-06-10,1946888891
India,2022-06-11,1948512551
India,2022-06-12,1949991113
India,2022-06-13,1951184908
India,2022-06-14,1952767342
India,2022-06-15,1954285339
India,2022-06-16,1955954232
India,2022-06-17,1957644567
India,2022-06-18,1959268288
India,2022-06-19,1960498702
